gene_id	transcript_id(s)	chromosome	tx_start	tx_end	strand	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound	promoter_start	promoter_end	H3K4me3	H3K27me3
ENSG00000230021.8	ENST00000357876.5	chr1	594307	598551	-	892.94	726.52	73.19	4.99	4.35	71.36	6.28	6.18	5.74	4.39525	8.0784	4.10325	7.52875	597551	600551	False	True
ENSG00000225972.1	ENST00000416931.1	chr1	629061	629433	+	372	205.85	0	0	0	0.26	0.5	0.28	0.26	4.98E-06	0.829917	4.63E-06	0.771998	627061	630061	False	True
ENSG00000225630.1	ENST00000457540.1	chr1	629639	630683	+	1044	877.57	10.57	0.6	0.52	11.17	3.22	0.64	0.59	0.191246	1.12448	0.184674	1.05228	627639	630639	False	True
ENSG00000237973.1	ENST00000414273.1	chr1	631073	632616	+	1543	1376.57	10.49	0.38	0.33	11.12	3.03	0.41	0.38	0.136077	0.715289	0.128507	0.667026	629073	632073	False	True
ENSG00000278791.1	ENST00000621981.1	chr1	632324	632413	-	89	0	0	0	0	0	0	0	0	0	0	0	0	631413	634413	False	True
ENSG00000229344.1	ENST00000427426.1	chr1	632756	633438	+	682	515.59	0	0	0	0.12	0.36	0.1	0.09	2.85E-06	0.299844	2.65E-06	0.278818	630756	633756	False	True
ENSG00000240409.1	ENST00000467115.1	chr1	633534	633741	+	207	49.05	0	0	0	0	0	0.94	0.87	1.68E-05	2.82168	1.56E-05	2.62411	631534	634534	False	True
ENSG00000248527.1	ENST00000514057.1	chr1	633695	634376	+	681	514.59	2.36	0.23	0.2	2.46	0.71	0.31	0.29	0.0322659	0.660848	0.0302906	0.614918	631695	634695	False	True
ENSG00000198744.5	ENST00000416718.2	chr1	634375	634922	+	547	380.62	0	0	0	0.08	0.29	0.13	0.12	4.76E-06	0.391593	4.43E-06	0.364163	632375	635375	False	True
ENSG00000268663.1	ENST00000438434.2	chr1	674841	675265	+	424	257.7	0	0	0	0	0	0.18	0.17	7.13E-07	0.535952	6.63E-07	0.498419	672841	675841	False	True
ENSG00000273547.1	ENST00000332831.3	chr1	685678	686673	-	939	772.57	0	0	0	2.02	2.14	0.18	0.17	9.58E-07	0.511241	8.92E-07	0.475321	685673	688673	False	False
ENSG00000229376.3	ENST00000440782.3	chr1	722091	724903	+	2455	2288.57	0	0	0	0	0	0.02	0.02	6.90E-07	0.060973	1.30E-06	0.056692	720091	723091	False	False
ENSG00000223181.1	ENST00000411249.1	chr1	758232	758336	-	104	0	0	0	0	0	0	0	0	0	0	0	0	757336	760336	False	False
ENSG00000229905.1	ENST00000422528.1	chr1	760910	761989	+	456	289.66	1	0.17	0.15	0.5	0.5	0.24	0.22	3.22E-06	0.654023	3.00E-06	0.60824	758910	761910	False	False
ENSG00000228327.3	ENST00000428504.2	chr1	764722	774280	-	6432	6265.57	201.02	1.59	1.39	195.08	12.15	1.91	1.77	1.21837	2.86374	1.13186	2.66176	773280	776280	False	False
ENSG00000237491.8	ENST00000412115.1	chr1	778746	810063	+	528.69	362.34	6.53	0.89	0.78	7.57	1.38	4.91	4.56	1.83252	9.55487	1.70651	8.88998	776746	779746	False	False
ENSG00000230092.7	ENST00000447500.4	chr1	800878	817712	-	411.74	248.45	9	1.79	1.57	9	0	2.29	2.13	0.484324	4.64388	0.445355	4.31194	816712	819712	False	False
ENSG00000177757.2	ENST00000326734.2	chr1	817370	819837	+	1947	1780.57	0	0	0	0	0	0.03	0.02	6.93E-09	0.0780569	6.45E-09	0.0725879	815370	818370	False	False
ENSG00000225880.5	ENST00000473798.1	chr1	826205	827522	-	1317	1150.57	8.61	0.37	0.32	8.62	1.29	0.39	0.36	0.144192	0.656201	0.135834	0.611718	826522	829522	False	False
ENSG00000228794.8	ENST00000415295.1	chr1	831604	842020	+	1882.02	1715.6	331	9.55	8.34	331	0	10.66	9.91	8.81451	12.6103	8.17892	11.7039	829604	832604	False	False
ENSG00000230368.2	ENST00000427857.1	chr1	868402	876802	-	1807	1640.57	1.2	0.04	0.03	2.09	1.03	0.49	0.46	0.0521619	1.08739	0.0479693	1.01032	875802	878802	False	False
ENSG00000234711.1	ENST00000415481.1	chr1	873291	874349	+	1058	891.57	0	0	0	0	0	0.05	0.05	8.74E-07	0.155913	8.13E-07	0.144859	871291	874291	False	False
ENSG00000283040.1	ENST00000635557.1	chr1	874528	877234	-	837	670.57	0	0	0	0	0	0.07	0.06	3.00E-06	0.205042	2.79E-06	0.190658	876234	879234	False	False
ENSG00000272438.1	ENST00000607769.1	chr1	904833	915976	+	351	184.99	0	0	0	0	0	0.25	0.23	3.95E-07	0.751655	3.67E-07	0.699371	902833	905833	False	False
ENSG00000230699.2	ENST00000448179.1	chr1	911434	914948	+	3043	2876.57	0	0	0	0	0	0.02	0.01	5.36E-08	0.0478118	4.98E-08	0.0444794	909434	912434	False	False
ENSG00000241180.1	ENST00000398216.2	chr1	914170	914971	+	443	276.68	0	0	0	0	0	0.17	0.15	1.00E-05	0.49913	3.82E-05	0.464354	912170	915170	False	False
ENSG00000223764.2	ENST00000417705.1	chr1	916869	919692	-	4152	3985.57	4	0.05	0.04	4	0	0.2	0.18	0.0368877	0.412747	0.0312465	0.380661	918692	921692	False	False
ENSG00000187634.10	ENST00000341065.8	chr1	930311	944575	+	2191	2024.57	10	0.24	0.21	10	0	1.41	1.31	0.657317	2.26402	0.608726	2.10278	928311	931311	False	False
ENSG00000188976.10	ENST00000327044.6	chr1	944202	959256	-	2543.78	2377.35	5810.31	121	105.65	5810.31	0.88	117.24	108.97	109.987	126.718	102.259	117.812	958256	961256	False	False
ENSG00000187961.13	ENST00000338591.7	chr1	960583	965719	+	2091.59	1925.17	71	1.83	1.59	71	0	2.06	1.91	1.46058	2.69205	1.34961	2.49497	958583	961583	False	False
ENSG00000187583.10	ENST00000379407.7	chr1	966501	975008	+	1596.67	1430.25	3	0.1	0.09	3	0	0.4	0.37	0.0968067	0.793446	0.0908184	0.738838	964501	967501	False	False
ENSG00000187642.9	ENST00000341290.6	chr1	975203	982093	-	2527.67	2361.24	0	0	0	0	0	0.07	0.07	0.00647242	0.172603	0.00592864	0.160369	981093	984093	False	False
ENSG00000272512.1	ENST00000606034.1	chr1	995965	998051	-	2086	1919.57	2	0.05	0.05	2	0	0.07	0.07	0.00614737	0.153017	0.00593045	0.142436	997051	1000051	False	False
ENSG00000188290.10	ENST00000304952.10	chr1	998963	1000111	-	951.04	784.61	16	1.01	0.88	16	0	1.22	1.14	0.701292	1.78835	0.655356	1.66622	999111	1002111	False	False
ENSG00000231702.2	ENST00000423619.2	chr1	1008075	1008229	-	154	13.25	0	0	0	0	0	3.48	3.24	8.71E-05	10.4751	8.10E-05	9.74535	1007229	1010229	False	False
ENSG00000224969.1	ENST00000458555.1	chr1	1011996	1013193	-	471	304.65	0	0	0	0	0	0.15	0.14	2.02E-08	0.451777	1.88E-08	0.419914	1012193	1015193	False	False
ENSG00000188157.13	ENST00000379370.6	chr1	1020119	1056116	+	5531.42	5364.99	396.68	3.66	3.2	396.61	2.42	4.91	4.57	3.67282	6.38276	3.41176	5.9309	1018119	1021119	False	False
ENSG00000242590.1	ENST00000418300.1	chr1	1055032	1056116	+	402	235.74	10.32	2.17	1.89	10.39	2.42	2.23	2.07	0.728383	3.79065	0.680747	3.52855	1053032	1056032	False	False
ENSG00000217801.9	ENST00000394517.6	chr1	1059707	1066459	+	568.2	401.81	31	3.82	3.34	31	0	4.04	3.76	2.736	5.47777	2.54053	5.0901	1057707	1060707	False	False
ENSG00000273443.1	ENST00000442292.2	chr1	1062207	1063288	-	829	662.58	0	0	0	0	0	0.07	0.06	1.56E-06	0.207475	2.99E-06	0.192935	1062288	1065288	False	False
ENSG00000237330.2	ENST00000453464.2	chr1	1070966	1074306	-	1902	1735.57	0	0	0	0	0	0.03	0.02	2.69E-06	0.0796314	2.50E-06	0.0740422	1073306	1076306	False	False
ENSG00000131591.17	ENST00000379319.5	chr1	1082699	1106127	-	1533.27	1366.85	169	6.12	5.34	169	0	6.79	6.31	5.59321	8.0519	5.20391	7.49118	1105127	1108127	False	False
ENSG00000223823.1	ENST00000416774.1	chr1	1137016	1144056	+	1620	1453.57	0	0	0	0	0	0.03	0.03	3.45E-07	0.0959447	3.21E-07	0.0892174	1135016	1138016	False	False
ENSG00000207730.2	ENST00000384997.2	chr1	1167103	1167198	+	111	1.07	0	0	0	0	0	43.02	39.98	5.53E-05	128.67	5.14E-05	119.617	1165103	1168103	False	False
ENSG00000207607.2	ENST00000384875.2	chr1	1167862	1167952	+	111	1.07	0	0	0	0	0	43.02	39.98	0.000230704	129.486	0.000213973	120.553	1165862	1168862	False	False
ENSG00000198976.1	ENST00000362106.1	chr1	1169004	1169087	+	83	0	0	0	0	0	0	0	0	0	0	0	0	1167004	1170004	False	False
ENSG00000272141.1	ENST00000606993.1	chr1	1169356	1170343	+	987	820.57	0	0	0	0	0	0.06	0.05	4.49E-07	0.169459	4.18E-07	0.15752	1167356	1170356	False	False
ENSG00000205231.1	ENST00000379317.1	chr1	1173055	1179555	-	3532	3365.57	0	0	0	0	0	0.01	0.01	1.84E-07	0.0404707	1.71E-07	0.0376421	1178555	1181555	False	False
ENSG00000162571.13	ENST00000379288.3	chr1	1179696	1185864	+	1225.14	1059.67	0	0	0	0	0	1.23	1.14	0.160804	2.85964	0.149523	2.65861	1177696	1180696	False	False
ENSG00000186891.13	ENST00000328596.10	chr1	1203507	1206571	-	865.5	699.08	0	0	0	0	0	0.28	0.26	0.0469719	0.562773	0.0436403	0.523504	1205571	1208571	False	False
ENSG00000186827.10	ENST00000379236.3	chr1	1211339	1214153	-	1056	889.64	0	0	0	0	0	0.28	0.26	0.0130686	0.704543	0.0144163	0.65757	1213153	1216153	False	False
ENSG00000078808.16	ENST00000263741.11	chr1	1216930	1232031	-	1982.75	1816.33	771	21.02	18.35	771	0	20.24	18.82	18.6914	21.8654	17.3779	20.3293	1231031	1234031	False	False
ENSG00000176022.4	ENST00000379198.3	chr1	1232236	1235041	+	2777	2610.57	269	5.1	4.45	269	0	4.77	4.43	4.21036	5.35319	3.91608	4.97824	1230236	1233236	False	False
ENSG00000184163.3	ENST00000330388.2	chr1	1242452	1246722	-	705.2	538.8	0	0	0	0	0	0.47	0.43	0.111852	0.891553	0.0937354	0.818465	1245722	1248722	False	False
ENSG00000260179.1	ENST00000565563.1	chr1	1249776	1251334	-	1558	1391.57	2	0.07	0.06	2	0	0.1	0.09	0.00945534	0.211783	0.00919155	0.197378	1250334	1253334	False	False
ENSG00000160087.20	ENST00000347370.6	chr1	1253913	1273854	-	1702.3	1535.87	679	21.89	19.11	679	0	22.87	21.26	20.7284	25.1597	19.2729	23.3909	1272854	1275854	False	False
ENSG00000230415.1	ENST00000434139.1	chr1	1275222	1280420	+	328.5	163.31	0	0	0	0	0	0.65	0.61	0.00804297	1.60014	0.00783614	1.48838	1273222	1276222	False	False
ENSG00000162572.19	ENST00000325425.12	chr1	1282108	1292024	+	1615.85	1449.44	5	0.17	0.15	5	0	1.41	1.31	0.20444	3.43566	0.193923	3.19647	1280108	1283108	False	False
ENSG00000131584.18	ENST00000353662.4	chr1	1293563	1303260	-	2429.89	2263.48	249	5.45	4.76	249	0	7.07	6.57	4.90194	9.29181	4.54545	8.63181	1302260	1305260	False	False
ENSG00000278073.1	ENST00000613751.1	chr1	1296109	1296170	-	61	0	0	0	0	0	0	0	0	0	0	0	0	1295170	1298170	False	False
ENSG00000169972.11	ENST00000379031.9	chr1	1308596	1311677	+	1266.22	1099.79	573	25.79	22.52	573	0	24.4	22.68	22.3809	26.4103	20.8352	24.5797	1306596	1309596	False	False
ENSG00000127054.18	ENST00000323275.10	chr1	1311599	1324621	-	1753.46	1587.03	1470	45.86	40.04	1470	0	58.71	54.57	45.8748	78.0264	42.7584	72.6719	1323621	1326621	False	False
ENSG00000274153.1	ENST00000620702.1	chr1	1312501	1312566	-	65	0	0	0	0	0	0	0	0	0	0	0	0	1311566	1314566	False	False
ENSG00000240731.1	ENST00000444968.1	chr1	1317580	1318689	-	386	219.79	5	1.13	0.98	5	0	1.26	1.17	0.372309	2.28764	0.346722	2.1281	1317689	1320689	False	False
ENSG00000224051.6	ENST00000343938.8	chr1	1324801	1328896	+	1978.05	1811.62	131	3.58	3.13	131	0	3.54	3.29	2.85417	4.25387	2.65473	3.95674	1322801	1325801	False	False
ENSG00000169962.4	ENST00000339381.5	chr1	1331279	1335314	+	3433	3266.57	2	0.03	0.03	2	0	0.04	0.04	0.00483739	0.0903996	0.00438932	0.0839536	1329279	1332279	False	False
ENSG00000107404.17	ENST00000378888.9	chr1	1335277	1349418	-	2756.83	2590.4	917	17.53	15.3	917	0	17.3	16.08	15.6775	18.9571	14.6014	17.6453	1348418	1351418	False	False
ENSG00000275884.1	ENST00000616525.1	chr1	1339649	1339708	-	59	0	0	0	0	0	0	0	0	0	0	0	0	1338708	1341708	False	False
ENSG00000162576.16	ENST00000309212.10	chr1	1352690	1358535	-	1624.72	1458.29	21	0.71	0.62	21	0	1.44	1.34	0.769558	2.22712	0.712162	2.06784	1357535	1360535	False	False
ENSG00000175756.13	ENST00000321751.9	chr1	1373731	1375169	-	873.93	707.5	1479	103.5	90.37	1479	0	96.91	90.08	91.7846	102.058	85.3209	94.8579	1374169	1377169	False	False
ENSG00000223663.2	ENST00000435351.2	chr1	1378665	1379032	+	367	200.88	1	0.25	0.22	1	0	0.46	0.43	0.0106317	1.09102	0.00990166	1.01467	1376665	1379665	False	False
ENSG00000221978.11	ENST00000400809.7	chr1	1385710	1399335	-	1888.03	1721.6	651	18.72	16.35	651	0	19.15	17.8	17.2574	21.1515	16.0195	19.644	1398335	1401335	False	False
ENSG00000224870.6	ENST00000418833.2	chr1	1399529	1402026	+	1531.83	1365.4	678	24.58	21.47	678	0	23.73	22.06	21.0685	26.4115	19.607	24.5744	1397529	1400529	False	False
ENSG00000242485.5	ENST00000344843.11	chr1	1401908	1407293	-	708.71	542.31	2387.93	218	190.35	2387.31	1.22	204.1	189.71	195.622	212.692	182.206	198.069	1406293	1409293	False	False
ENSG00000264293.2	ENST00000582431.2	chr1	1405459	1405752	-	293	127.91	1.07	0.42	0.36	1.69	1.22	0.97	0.9	1.94E-05	2.38851	1.81E-05	2.22185	1404752	1407752	False	False
ENSG00000272455.1	ENST00000607307.1	chr1	1409095	1410618	+	1523	1356.57	15	0.55	0.48	15	0	0.54	0.51	0.298075	0.819318	0.277125	0.761655	1407095	1410095	False	False
ENSG00000235098.8	ENST00000427211.3	chr1	1418419	1421769	-	1636	1469.57	0	0	0	0	0	0.18	0.17	0.0389897	0.351659	0.0340143	0.324765	1420769	1423769	False	False
ENSG00000225905.1	ENST00000428932.1	chr1	1420244	1422691	+	543	376.62	0	0	0	0	0	0.12	0.11	4.60E-06	0.369749	4.27E-06	0.343713	1418244	1421244	False	False
ENSG00000205116.3	ENST00000378821.3	chr1	1426127	1427787	+	492	325.64	0	0	0	0	0	0.14	0.13	1.44E-06	0.423454	1.34E-06	0.393907	1424127	1427127	False	False
ENSG00000225285.1	ENST00000417917.1	chr1	1430663	1434520	-	424	257.7	3	0.58	0.5	3	0	1.02	0.95	0.334968	1.83248	0.311035	1.703	1433520	1436520	False	False
ENSG00000179403.11	ENST00000338660.5	chr1	1435522	1440765	+	1493.24	1326.81	18	0.67	0.59	18	0	0.8	0.74	0.327127	1.32382	0.306055	1.23265	1433522	1436522	False	False
ENSG00000215915.9	ENST00000378785.6	chr1	1449688	1470163	+	3859	3692.57	1.05	0.01	0.01	1.08	0.3	0.29	0.27	0.0269452	0.669573	0.0250082	0.622335	1447688	1450688	False	False
ENSG00000160072.19	ENST00000308647.7	chr1	1471783	1496201	+	3188.72	3022.3	898.26	14.71	12.85	898.8	8.04	14.11	13.12	12.8701	15.4322	11.9841	14.3636	1469783	1472783	False	False
ENSG00000197785.13	ENST00000339113.8	chr1	1512384	1534613	+	2331.8	2165.37	1409.7	32.23	28.14	1409.12	8.04	30.72	28.56	28.8185	32.7242	26.7262	30.3569	1510384	1513384	False	False
ENSG00000205090.8	ENST00000378733.8	chr1	1534777	1540624	-	743.67	577.25	0	0	0	0	0	0.24	0.22	0.0224099	0.511916	0.0216733	0.476928	1539624	1542624	False	False
ENSG00000160075.11	ENST00000291386.3	chr1	1541672	1574863	-	1522.85	1356.42	2395	87.42	76.33	2395	0	81.67	75.92	78.2297	85.1847	72.7768	79.2219	1573863	1576863	False	False
ENSG00000215014.4	ENST00000366221.3	chr1	1574974	1577075	+	2101	1934.57	12	0.31	0.27	12	0	0.31	0.29	0.151271	0.481295	0.141095	0.44807	1572974	1575974	False	False
ENSG00000274481.1	ENST00000621860.1	chr1	1583509	1583909	-	400	233.75	0	0	0	0	0	0.2	0.18	1.09E-06	0.58341	1.02E-06	0.542546	1582909	1585909	False	False
ENSG00000228594.3	ENST00000422725.3	chr1	1598011	1600135	-	2085	1918.57	35	0.9	0.79	35	0	0.87	0.8	0.593117	1.15406	0.550756	1.07222	1599135	1602135	False	False
ENSG00000272106.1	ENST00000607222.1	chr1	1613757	1615795	-	2038	1871.57	27	0.71	0.62	27	0	0.69	0.64	0.44368	0.946747	0.414615	0.882383	1614795	1617795	False	False
ENSG00000197530.12	ENST00000355826.9	chr1	1615420	1630610	+	1581.17	1414.76	42	1.47	1.28	42	0	3.31	3.08	2.27317	4.42654	2.07738	4.08017	1613420	1616420	False	False
ENSG00000189409.12	ENST00000356026.9	chr1	1632172	1634654	+	946.83	780.42	0	0	0	0	0	0.9	0.84	0.383692	1.47387	0.358208	1.37198	1630172	1633172	False	False
ENSG00000248333.8	ENST00000340677.9	chr1	1635737	1659012	-	2901.35	2734.92	632.31	11.45	9.99	629.53	12.91	10.89	10.12	9.89609	11.9095	9.18595	11.059	1658012	1661012	False	False
ENSG00000272004.1	ENST00000607013.1	chr1	1659324	1662602	+	400	233.75	1	0.21	0.18	1	0	0.39	0.37	0.0108258	0.941222	0.0100741	0.875347	1657324	1660324	False	False
ENSG00000189339.11	ENST00000480991.1	chr1	1663781	1670139	-	5900.03	5733.6	1737.08	15	13.1	1737.77	9.01	14.08	13.08	13.3421	14.8046	12.4078	13.7649	1669139	1672139	False	False
ENSG00000269737.1	ENST00000596308.1	chr1	1671989	1673411	+	1422	1255.57	0	0	0	0	0	0.04	0.03	2.00E-06	0.110064	1.86E-06	0.102341	1669989	1672989	False	False
ENSG00000269227.1	ENST00000597891.1	chr1	1673274	1674397	+	502	335.64	0	0	0	0	0	0.14	0.13	9.31E-07	0.410658	8.66E-07	0.381977	1671274	1674274	False	False
ENSG00000215914.4	ENST00000234610.5	chr1	1699941	1701782	+	1017	850.57	0	0	0	0	0	0.05	0.05	1.05E-06	0.162285	9.77E-07	0.150971	1697941	1700941	False	False
ENSG00000008128.22	ENST00000356200.7	chr1	1702729	1722831	-	1457	1290.59	257.53	9.88	8.63	261.58	14.17	12.16	11.3	9.40506	15.0233	8.74767	13.9699	1721831	1724831	False	False
ENSG00000268575.1	ENST00000598846.1	chr1	1702735	1737688	-	5079	4912.57	106.41	1.07	0.94	104.93	7.08	0.99	0.92	0.774235	1.22857	0.721125	1.14368	1736688	1739688	False	False
ENSG00000227775.3	ENST00000417099.1	chr1	1724614	1731904	+	409	242.73	1	0.2	0.18	1	0	0.71	0.66	0.141166	1.39174	0.130937	1.29391	1722614	1725614	False	False
ENSG00000215790.6	ENST00000246421.4	chr1	1732241	1745992	-	1675.71	1509.28	146.67	4.81	4.2	146.19	9.27	4.59	4.26	3.6706	5.51724	3.41535	5.1319	1744992	1747992	False	False
ENSG00000008130.15	ENST00000341426.9	chr1	1751231	1778470	-	2614.29	2447.98	1426	28.84	25.18	1426	0	29.53	27.45	26.6102	32.5648	24.7257	30.2618	1777470	1780470	False	False
ENSG00000078369.17	ENST00000378609.8	chr1	1785285	1891087	-	3097.86	2931.43	4178	70.56	61.61	4178	0	66.75	62.05	64.4844	68.9991	59.9961	64.1804	1890087	1893087	False	False
ENSG00000231050.1	ENST00000412228.1	chr1	1891470	1892658	+	906	739.57	0	0	0	0	0	0.06	0.06	2.28E-08	0.187473	2.12E-08	0.174317	1889470	1892470	False	False
ENSG00000169885.9	ENST00000307786.7	chr1	1915259	1917296	+	1080.5	914.08	0	0	0	0	0	0.27	0.25	0.0394687	0.563807	0.0366032	0.524138	1913259	1916259	False	False
ENSG00000178821.12	ENST00000310991.7	chr1	1917590	1919279	-	942.11	775.68	33	2.11	1.84	33	0	2.72	2.53	1.76584	3.75993	1.64758	3.50068	1918279	1921279	False	False
ENSG00000142609.17	ENST00000270720.11	chr1	1953312	2003837	-	2327.33	2160.93	0	0	0	0	0	0.52	0.48	0.130892	1.00806	0.121242	0.936893	2002837	2005837	False	False
ENSG00000233542.1	ENST00000443930.1	chr1	2013212	2015530	-	1954	1787.57	0	0	0	0	0	0.03	0.02	9.37E-07	0.0773052	8.73E-07	0.0718775	2014530	2017530	False	False
ENSG00000187730.7	ENST00000378585.5	chr1	2019344	2030758	+	1928	1761.57	0	0	0	0	0	0.03	0.02	8.32E-07	0.0786878	7.74E-07	0.0731625	2017344	2020344	False	False
